team,pca_x,pca_y,avg_goals,avg_xG,progression_total,team_cluster,cluster_name
Serbia,1.2596082476024482,5.56216221679211,1,2.1,262,1,Pressão Alta
Slovakia,3.883928235672078,9.156739901272863,4,4.3,318,1,Pressão Alta
Slovenia,1.2548190514037791,3.7857125380656576,2,3.1,216,1,Pressão Alta
Spain,19.264652523040958,41.29864879761995,14,12.9,906,1,Pressão Alta
Switzerland,9.475508105390897,27.172811700013895,8,6.8,467,1,Pressão Alta
Türkiye,18.719637369189016,100.0,8,7.6,451,3,Equilíbrio Tático
Ukraine,2.7179162549144276,10.384452200531054,2,2.9,285,1,Pressão Alta
Atalanta,78.91505911221093,31.486711293571076,76,66.8,4529,2,Transição Rápida
Bologna,59.20935008914293,20.043758354948014,56,50.0,3564,2,Transição Rápida
Cagliari,45.452657293747485,10.264222478061438,38,43.7,2796,0,Posse e Controle
Como,55.05413493506858,19.630501657646196,44,46.2,3406,0,Posse e Controle
Empoli,36.304254670321725,16.299796306330204,31,33.1,2445,0,Posse e Controle
Fiorentina,55.006764271071255,12.189970158125305,58,50.2,3086,0,Posse e Controle
Genoa,41.12327015732686,20.4441024473325,35,37.2,2417,0,Posse e Controle
Hellas Verona,37.24802927999866,14.955776891984403,31,34.5,2458,0,Posse e Controle
Inter,75.29241766217301,16.98231748281708,76,68.5,4141,2,Transição Rápida
Juventus,59.99117852566324,6.447449191442482,56,51.6,3919,2,Transição Rápida
Lazio,64.46243674846791,15.045948897340837,60,58.400000000000006,3942,2,Transição Rápida
Lecce,36.11385175795894,3.686599951912596,27,35.2,2652,0,Posse e Controle
Milan,68.98240337222822,18.380139726373088,59,65.1,4076,2,Transição Rápida
Monza,34.711351250113495,6.056429053772351,27,30.5,2710,0,Posse e Controle
Napoli,61.24074708176005,12.378589549441383,56,53.5,3815,2,Transição Rápida
Parma,47.70086851040118,26.1049329686371,43,44.3,2686,0,Posse e Controle
Roma,57.60971475824231,9.507236504335086,55,54.3,3680,0,Posse e Controle
Torino,39.20493653714339,10.741777034732534,36,35.5,2745,0,Posse e Controle
Udinese,43.672939095856876,6.040806773824289,41,39.4,2866,0,Posse e Controle
Venezia,36.31305922332464,8.274740213558339,31,36.7,2630,0,Posse e Controle
