player_id,player_name,current_club,position,age,recommended_to_team,vector_score,tactical_fit,final_score,player_cluster,recommendation_date
9,Dani Olmo,Barcelona,"MF,FW",21,PSG,0.9037,1.0,0.9615,0,2025-12-15
10,Jadon Sancho,Manchester United,FW,17,PSG,0.9029,1.0,0.9612,1,2025-12-15
11,Alexis Mac Allister,Liverpool,"MF,FW",21,PSG,0.9003,1.0,0.9601,0,2025-12-15
12,Giuliano Simeone,Atlético Madrid,FW,20,PSG,0.8953,1.0,0.9581,0,2025-12-15
13,Youssouf Fofana,Ac Milan,MF,19,PSG,0.8915,1.0,0.9566,0,2025-12-15
14,Pierre Kalulu,Juventus,DF,20,PSG,0.8872,1.0,0.9549,0,2025-12-15
9,Pierre Kalulu,Juventus,DF,20,Arsenal,0.8675,1.0,0.947,0,2025-12-15
10,Kassoum Ouattara,Monaco,"DF,FW",19,Arsenal,0.8619,1.0,0.9448,0,2025-12-15
11,Rayan Cherki,Manchester City,"FW,MF",17,Arsenal,0.8603,1.0,0.9441,0,2025-12-15
12,Rico Lewis,Manchester City,"DF,MF",17,Arsenal,0.8437,1.0,0.9375,0,2025-12-15
13,Pedri,Barcelona,MF,18,Arsenal,0.8361,1.0,0.9344,0,2025-12-15
14,Rico Lewis,Manchester City,"DF,MF",18,Arsenal,0.8292,1.0,0.9317,0,2025-12-15
15,Josh Wilson-Esbrand,Manchester City,"DF,MF",20,Arsenal,0.828,1.0,0.9312,0,2025-12-15
10,Kassoum Ouattara,Monaco,"DF,FW",18,Liverpool,0.9032,1.0,0.9613,0,2025-12-15
11,Pierre Kalulu,Juventus,DF,20,Liverpool,0.8817,1.0,0.9527,0,2025-12-15
12,Phil Foden,Manchester City,MF,18,Liverpool,0.8743,1.0,0.9497,0,2025-12-15
13,Senny Mayulu,Psg,MF,18,Liverpool,0.8642,1.0,0.9457,1,2025-12-15
14,Youssouf Fofana,Ac Milan,MF,19,Liverpool,0.8622,1.0,0.9449,0,2025-12-15
15,Rico Lewis,Manchester City,"DF,MF",18,Liverpool,0.8551,1.0,0.9421,0,2025-12-15
16,Gabriel Martinelli,Arsenal,FW,19,Liverpool,0.8524,1.0,0.941,0,2025-12-15
11,Senny Mayulu,Psg,MF,18,Manchester City,0.9147,1.0,0.9659,1,2025-12-15
12,Dani Olmo,Barcelona,"MF,FW",21,Manchester City,0.8757,1.0,0.9503,0,2025-12-15
13,Pedri,Barcelona,MF,18,Manchester City,0.87,1.0,0.948,0,2025-12-15
14,Alexis Mac Allister,Liverpool,"MF,FW",21,Manchester City,0.8533,1.0,0.9413,0,2025-12-15
