league,season,team,age,Playing Time_born,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Expected_xG,Expected_npxG,Expected_xAG,Expected_npxG+xAG,Progression_PrgC,Progression_PrgP,Progression_PrgR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Per 90 Minutes_xG,Per 90 Minutes_xAG,Per 90 Minutes_xG+xAG,Per 90 Minutes_npxG,Per 90 Minutes_npxG+xAG
FRA-Ligue 1,2122,Brest,629,0,564,418,37489,416.7,48,32,80,41,7,8,58,2,44.1,37.5,28.7,66.0,666,1349,1335,2.51,2.0500000000000003,4.57,2.18,4.24,2.75,1.81,4.59,2.3800000000000003,4.21
FRA-Ligue 1,2122,Clermont Foot,730,0,577,418,37369,415.1,36,25,61,34,2,3,65,8,45.0,42.5,32.6,74.9,617,1370,1352,2.0,1.51,3.52,1.93,3.44,3.43,2.19,5.65,3.33,5.5600000000000005
FRA-Ligue 1,2122,Lens,687,0,588,418,37352,415.3,60,39,99,55,5,5,73,7,51.7,47.7,35.0,83.0,763,1692,1680,4.05,2.45,6.49,3.8499999999999996,6.29,3.7399999999999998,2.7600000000000002,6.489999999999999,3.57,6.319999999999999
FRA-Ligue 1,2122,Lille,635,0,563,418,37468,416.3,45,29,74,41,4,5,98,6,51.1,47.2,34.0,81.3,725,1487,1472,2.73,2.82,5.55,2.59,5.41,2.84,2.8,5.62,2.7,5.49
FRA-Ligue 1,2122,Lorient,728,0,571,418,37529,416.9,35,20,55,32,3,3,69,4,42.0,39.6,29.9,69.3,569,1258,1251,2.48,1.03,3.54,2.37,3.43,2.96,1.8599999999999999,4.8100000000000005,2.87,4.72
FRA-Ligue 1,2122,Lyon,744,0,557,418,37457,416.09999999999997,64,45,109,56,8,8,65,6,68.10000000000001,61.7,48.4,110.10000000000001,781,1756,1739,3.52,3.91,7.41,3.2,7.1000000000000005,6.21,3.75,9.95,5.96,9.7
FRA-Ligue 1,2122,Marseille,671,0,562,418,37597,417.9,61,40,101,51,10,10,61,3,59.1,51.3,41.0,92.3,762,1866,1854,3.84,2.13,5.97,3.39,5.54,4.13,2.81,6.93,3.79,6.59
FRA-Ligue 1,2122,Metz,874,0,564,418,37412,415.8,33,24,57,32,1,1,94,9,29.5,28.7,21.7,50.3,572,1015,1004,2.41,2.23,4.62,2.35,4.5600000000000005,22.52,1.97,24.52,22.479999999999997,24.48
FRA-Ligue 1,2122,Monaco,622,0,586,418,37542,417.2,62,45,107,53,9,9,85,4,60.1,53.0,44.3,97.5,750,1871,1855,3.02,1.94,4.98,2.7,4.65,3.45,2.87,6.33,3.2,6.08
FRA-Ligue 1,2122,Montpellier,664,0,580,418,37408,415.4,48,31,79,45,3,4,77,8,43.3,40.1,28.8,68.9,604,1282,1269,3.34,2.1,5.430000000000001,3.23,5.32,3.04,2.5300000000000002,5.59,2.93,5.4799999999999995
